id,citing,cited
oci:061401892621-06210665945,omid:br/061401892621,omid:br/06210665945
oci:06604333706-06110728176,omid:br/06604333706,omid:br/06110728176
oci:06160623079-06250952665,omid:br/06160623079,omid:br/06250952665
oci:06280156883-06502326995,omid:br/06280156883,omid:br/06502326995
oci:062103900220-062602129521,omid:br/062103900220,omid:br/062602129521
oci:062202621606-062503233632,omid:br/062202621606,omid:br/062503233632
oci:062303994977-061801049421,omid:br/062303994977,omid:br/061801049421
oci:062504010817-06170673538,omid:br/062504010817,omid:br/06170673538
oci:06340109164-061803027926,omid:br/06340109164,omid:br/061803027926
oci:06204352332-06240108490,omid:br/06204352332,omid:br/06240108490
oci:06510101030-06503969123,omid:br/06510101030,omid:br/06503969123
oci:06420119829-06101090274,omid:br/06420119829,omid:br/06101090274
oci:06804330486-06303484319,omid:br/06804330486,omid:br/06303484319
oci:06110517954-06402258635,omid:br/06110517954,omid:br/06402258635
oci:06901130507-06801798622,omid:br/06901130507,omid:br/06801798622
oci:06450140819-06601386348,omid:br/06450140819,omid:br/06601386348
oci:06703299748-06401534487,omid:br/06703299748,omid:br/06401534487
oci:06904005252-06140585183,omid:br/06904005252,omid:br/06140585183
oci:06440182836-06403477598,omid:br/06440182836,omid:br/06403477598
oci:06340100886-061502428173,omid:br/06340100886,omid:br/061502428173
oci:061503916906-06140453490,omid:br/061503916906,omid:br/06140453490
oci:06503074235-061402842329,omid:br/06503074235,omid:br/061402842329
oci:06704409896-06140561512,omid:br/06704409896,omid:br/06140561512
oci:06530116630-06202225074,omid:br/06530116630,omid:br/06202225074
oci:06380186463-061903087574,omid:br/06380186463,omid:br/061903087574
oci:06510173227-06460142037,omid:br/06510173227,omid:br/06460142037
oci:06280183495-06703468899,omid:br/06280183495,omid:br/06703468899
oci:06290168133-061901494170,omid:br/06290168133,omid:br/061901494170
oci:06240591431-061101617199,omid:br/06240591431,omid:br/061101617199
oci:06280184473-06902293924,omid:br/06280184473,omid:br/06902293924
oci:06304350102-06101399078,omid:br/06304350102,omid:br/06101399078
oci:061203907212-06170289906,omid:br/061203907212,omid:br/06170289906
oci:062103978472-06802574668,omid:br/062103978472,omid:br/06802574668
oci:06420194495-062202421175,omid:br/06420194495,omid:br/062202421175
oci:06390112525-06102554871,omid:br/06390112525,omid:br/06102554871
oci:062203917933-06190545106,omid:br/062203917933,omid:br/06190545106
oci:061104061865-061901895325,omid:br/061104061865,omid:br/061901895325
oci:06350163973-06210710591,omid:br/06350163973,omid:br/06210710591
oci:06380174149-06803434477,omid:br/06380174149,omid:br/06803434477
oci:06504350046-06180496402,omid:br/06504350046,omid:br/06180496402
oci:06340179712-06201430582,omid:br/06340179712,omid:br/06201430582
oci:06270131487-06240746889,omid:br/06270131487,omid:br/06240746889
oci:062103952284-06140585541,omid:br/062103952284,omid:br/06140585541
oci:06270135149-06260538904,omid:br/06270135149,omid:br/06260538904
oci:06470146113-06130460248,omid:br/06470146113,omid:br/06130460248
oci:06470118059-06160981270,omid:br/06470118059,omid:br/06160981270
oci:06520154282-06602278233,omid:br/06520154282,omid:br/06602278233
oci:06460105958-061402078995,omid:br/06460105958,omid:br/061402078995
oci:06501798159-06120460089,omid:br/06501798159,omid:br/06120460089
oci:06530120426-06701657057,omid:br/06530120426,omid:br/06701657057
oci:061104033612-06802428860,omid:br/061104033612,omid:br/06802428860
oci:06490180062-061802808816,omid:br/06490180062,omid:br/061802808816
oci:06204388233-06803124816,omid:br/06204388233,omid:br/06803124816
oci:06350184002-062501530031,omid:br/06350184002,omid:br/062501530031
oci:06510159109-06170530991,omid:br/06510159109,omid:br/06170530991
oci:06360100132-061601955938,omid:br/06360100132,omid:br/061601955938
oci:06302164650-061702492385,omid:br/06302164650,omid:br/061702492385
oci:06410134681-06901846360,omid:br/06410134681,omid:br/06901846360
oci:06320130725-06170404030,omid:br/06320130725,omid:br/06170404030
oci:06104355677-061802859913,omid:br/06104355677,omid:br/061802859913
oci:06501695691-06401587240,omid:br/06501695691,omid:br/06401587240
oci:06804456038-06303202666,omid:br/06804456038,omid:br/06303202666
oci:062103920640-06702435719,omid:br/062103920640,omid:br/06702435719
oci:061501590505-06150201114,omid:br/061501590505,omid:br/06150201114
oci:06304336963-06201559526,omid:br/06304336963,omid:br/06201559526
oci:06240176251-06302206637,omid:br/06240176251,omid:br/06302206637
oci:06280187542-06601073610,omid:br/06280187542,omid:br/06601073610
oci:06450138048-06602506325,omid:br/06450138048,omid:br/06602506325
